lat;lon;name;date;heure;temperature;point_de_rose;humidite;pression_station;variation_pression_24h;temperature_min_sol_12h;precipitations_dernieres_24h
41.374.833;9.178.333;CAP PERTUSATO;01/01/2026;00:00:00Z;281.95;276.95;71;100470;420;NULL;2.8
42.259.667;95.415;ALISTRO;01/01/2026;00:00:00Z;281.35;274.25;61;101010;490;NULL;11.4
41.505.167;9.103.667;FIGARI;01/01/2026;00:00:00Z;279.95;275.25;72;101630;430;NULL;NULL
42.540.667;9.485.167;BASTIA;01/01/2026;00:00:00Z;276.65;274.85;88;101780;490;277.25;0.8
-11.582.667;47.289.667;GLORIEUSES;01/01/2026;00:00:00Z;299.35;296.85;86;101020;-20;NULL;3.0
-17.054.667;42.712;JUAN DE NOVA;01/01/2026;00:00:00Z;300.25;295.65;76;100950;-160;NULL;0.0
-22.344.167;40.340.667;EUROPA;01/01/2026;00:00:00Z;296.35;291.05;72;101050;-290;NULL;0.0
-15.887.667;54.520.667;TROMELIN;01/01/2026;00:00:00Z;300.35;297.05;82;101010;-50;NULL;0.0
-20.892.167;55.528.667;GILLOT-AEROPORT;01/01/2026;00:00:00Z;296.15;293.45;85;101030;220;NULL;0.0
-37.795.167;77.569.167;NOUVELLE AMSTERDAM;01/01/2026;00:00:00Z;291.55;291.35;99;99980;-860;NULL;24.0
-464.325;51.856.667;CROZET;01/01/2026;00:00:00Z;282.75;277.75;71;98620;-1360;NULL;0.2
-49.352.333;70.243.333;KERGUELEN;01/01/2026;00:00:00Z;277.45;274.65;82;99460;NULL;NULL;NULL
-128.055;45.282.833;PAMANDZI;01/01/2026;00:00:00Z;298.55;297.15;92;101040;10;NULL;8.3
46.766.333;-56.179.167;ST-PIERRE;01/01/2026;00:00:00Z;275.85;274.05;88;101170;1600;273.55;0.4
16.335;-61.004;LA DESIRADE METEO;01/01/2026;00:00:00Z;299.65;292.75;66;101360;70;NULL;0.0
179.015;-62.852.167;ST-BARTHELEMY METEO;01/01/2026;00:00:00Z;298.45;290.65;62;101170;40;NULL;0.0
16.264;-61.516.333;LE RAIZET AERO;01/01/2026;00:00:00Z;296.45;292.65;79;101600;80;294.65;0.0
147.745;-60.875.333;TRINITE-CARAVEL;01/01/2026;00:00:00Z;299.25;293.85;72;101270;90;NULL;0.0
14.595.333;-60.995.667;LAMENTIN-AERO;01/01/2026;00:00:00Z;297.35;293.25;78;101580;90;NULL;0.0
54.855;-54.031.667;SAINT LAURENT;01/01/2026;00:00:00Z;297.05;NULL;NULL;101330;60;NULL;15.7
4.822.333;-52.365.333;CAYENNE-MATOURY;01/01/2026;00:00:00Z;299.75;296.85;84;101360;100;299.95;4.8
3.890.667;-51.804.667;SAINT GEORGES;01/01/2026;00:00:00Z;298.55;NULL;NULL;101330;100;NULL;1.0
3.640.167;-54.028.333;MARIPASOULA;01/01/2026;00:00:00Z;298.75;NULL;NULL;100170;50;NULL;0.8
-66.663.167;140.001;DUMONT D'URVILLE;01/01/2026;00:00:00Z;273.85;273.45;97;98630;NULL;NULL;NULL
-18.48;163.086.333;SURPRISE;01/01/2026;00:00:00Z;305.35;292.25;46;100780;40;NULL;NULL
-19.968.333;1.584.755;CHESTERFIELD;01/01/2026;00:00:00Z;301.55;291.65;55;100910;30;NULL;NULL
-20.558.667;164.284.167;KOUMAC;01/01/2026;00:00:00Z;301.45;292.95;60;100560;70;NULL;0.0
